Index	SampleID	BaseName	ArrayType	GSMID	SampleType	Download	Annotations	AnnotColor
9407201029_R04C01	CONTR_ADENOPIT_01		450k	GSM2404297	ref	TRUE		
3999834096_R05C02	CONTR_ADENOPIT_02		450k	GSM2405408	ref	TRUE		
9420867121_R06C01	CONTR_ADENOPIT_03		450k	GSM2404453	ref	TRUE		
9420867121_R01C02	CONTR_ADENOPIT_04		450k	GSM2404454	ref	TRUE		
9407201029_R02C01	CONTR_ADENOPIT_05		450k	GSM2404295	ref	TRUE		
9420867121_R05C01	CONTR_ADENOPIT_06		450k	GSM2404452	ref	TRUE		
9407201029_R03C01	CONTR_ADENOPIT_07		450k	GSM2404296	ref	TRUE		
3999834094_R05C02	CONTR_ADENOPIT_08		450k	GSM2405390	ref	TRUE		
9553932113_R01C02	CONTR_ADENOPIT_09		450k	GSM2404555	ref	TRUE		
3999095103_R02C02	CONTR_CEBM_01		450k	GSM2405603	ref	TRUE		
5911815023_R01C01	CONTR_CEBM_02		450k	GSM2402868	ref	TRUE		
5911815023_R02C01	CONTR_CEBM_03		450k	GSM2402869	ref	TRUE		
5911815023_R04C01	CONTR_CEBM_04		450k	GSM2402872	ref	TRUE		
5911815023_R05C01	CONTR_CEBM_05		450k	GSM2402873	ref	TRUE		
5911815023_R06C01	CONTR_CEBM_06		450k	GSM2402874	ref	TRUE		
7310440006_R03C01	CONTR_CEBM_07		450k	GSM2403233	ref	TRUE		
7310440006_R02C01	CONTR_CEBM_08		450k	GSM2403234	ref	TRUE		
3999095103_R03C02	CONTR_HEMI_01		450k	GSM2405604	ref	TRUE		
8622007080_R01C01	CONTR_HEMI_02		450k	GSM2403530	ref	TRUE		
8622007080_R02C01	CONTR_HEMI_03		450k	GSM2403531	ref	TRUE		
8622007080_R03C01	CONTR_HEMI_04		450k	GSM2403532	ref	TRUE		
8622007080_R04C01	CONTR_HEMI_05		450k	GSM2403533	ref	TRUE		
8622007080_R06C01	CONTR_HEMI_06		450k	GSM2403534	ref	TRUE		
8622007080_R03C02	CONTR_HEMI_07		450k	GSM2403535	ref	TRUE		
7310440006_R05C01	CONTR_HEMI_08		450k	GSM2403235	ref	TRUE		
7310440006_R05C02	CONTR_HEMI_09		450k	GSM2403236	ref	TRUE		
7310440006_R06C01	CONTR_HEMI_10		450k	GSM2403237	ref	TRUE		
7310440006_R03C02	CONTR_HEMI_11		450k	GSM2403238	ref	TRUE		
7310440006_R04C02	CONTR_HEMI_12		450k	GSM2403239	ref	TRUE		
7310440009_R01C01	CONTR_HEMI_13		450k	GSM2403240	ref	TRUE		
3998523003_R03C01	CONTR_HYPTHAL_01		450k	GSM2405608	ref	TRUE		
3998523003_R06C01	CONTR_HYPTHAL_02		450k	GSM2405611	ref	TRUE		
3998523003_R01C01	CONTR_HYPTHAL_03		450k	GSM2405606	ref	TRUE		
3998523003_R03C02	CONTR_HYPTHAL_04		450k	GSM2405614	ref	TRUE		
3998523003_R01C02	CONTR_HYPTHAL_05		450k	GSM2405612	ref	TRUE		
3998523003_R04C01	CONTR_HYPTHAL_06		450k	GSM2405609	ref	TRUE		
3998523003_R02C01	CONTR_HYPTHAL_07		450k	GSM2405607	ref	TRUE		
3998523003_R05C01	CONTR_HYPTHAL_08		450k	GSM2405610	ref	TRUE		
3998523003_R02C02	CONTR_HYPTHAL_09		450k	GSM2405613	ref	TRUE		
9980102032_R05C01	CONTR_INFLAM_01		450k	GSM2405223	ref	TRUE		
8959312010_R02C02	CONTR_INFLAM_02		450k	GSM2403681	ref	TRUE		
9611518115_R06C02	CONTR_INFLAM_03		450k	GSM2404596	ref	TRUE		
9611518109_R04C01	CONTR_INFLAM_04		450k	GSM2404581	ref	TRUE		
9878820106_R05C02	CONTR_INFLAM_05		450k	GSM2405178	ref	TRUE		
9855358066_R01C02	CONTR_INFLAM_06		450k	GSM2405137	ref	TRUE		
9878820119_R02C01	CONTR_INFLAM_07		450k	GSM2405191	ref	TRUE		
9611518099_R02C02	CONTR_INFLAM_08		450k	GSM2404578	ref	TRUE		
9721365095_R01C02	CONTR_INFLAM_09		450k	GSM2404630	ref	TRUE		
9611518117_R02C02	CONTR_INFLAM_10		450k	GSM2404595	ref	TRUE		
9611518117_R03C01	CONTR_INFLAM_11		450k	GSM2404599	ref	TRUE		
9721365104_R03C02	CONTR_INFLAM_12		450k	GSM2404639	ref	TRUE		
9611518110_R03C01	CONTR_INFLAM_13		450k	GSM2404572	ref	TRUE		
9611518166_R03C01	CONTR_INFLAM_14		450k	GSM2404601	ref	TRUE		
9611518113_R01C01	CONTR_INFLAM_15		450k	GSM2404568	ref	TRUE		
9611518117_R05C02	CONTR_INFLAM_16		450k	GSM2404594	ref	TRUE		
9878820119_R03C01	CONTR_INFLAM_17		450k	GSM2405192	ref	TRUE		
9721365105_R04C01	CONTR_INFLAM_18		450k	GSM2404638	ref	TRUE		
